No.	Word	Valence_Mean	Valence_SD	Arousal_Mean	Arousal_SD	Frequency
3604	暈倒	3.2	0.908	5.6	1.342	14
3708	慘不忍睹	1.8	0.908	6.6	1.14	16
3747	嚇人	2.3	0.908	6.6	1.387	24
3770	有利於	7.7	0.908	5.1	1.342	50
3782	憔悴	2.7	0.908	3.9	1.245	22
3786	輕而易舉	6.8	0.908	4.8	1.525	13
3850	變糟	2.2	0.908	5.6	1.557	0
3899	曬傷	3.2	0.908	6.4	1.517	6
3909	包容	6.7	0.908	4	1.458	58
3974	獨享	6.2	0.908	6.2	1.643	7
4053	海派	7.2	0.908	4.8	1.304	0
4091	大開眼界	7.8	0.908	7.5	1.173	14
4092	多汁	6.2	0.908	5.7	0.837	8
4131	血流如注	1.8	0.908	8.3	0.975	0
4208	停電	3.8	0.908	7.4	1.517	34
4247	買一送一	6.8	0.908	6.1	1.084	0
4253	炫爆	7.2	0.908	7.6	0.894	0
4268	貨真價實	7.8	0.908	5.6	1.517	13
4284	輕薄短小	6.7	0.908	4	1.581	0
4288	七零八落	2.8	0.908	3.6	0.822	4
4336	吃香	6.7	0.908	5.2	1.44	10
4339	名副其實	6.8	0.908	5	1.458	16
4340	名符其實	6.8	0.908	5	1.458	7
4359	耳目一新	6.7	0.908	6.3	1.565	15
4385	乖乖	6.3	0.908	3.1	1.342	60
4491	密告	3.3	0.908	3.7	1.204	0
4733	上癮	4.2	0.908	6.8	2.049	23
4768	重壓	3.8	0.908	3.3	1.525	0
4852	洩恨	3.2	0.908	6.2	2.019	0
5111	扭打	2.8	0.908	6.6	2.302	6
5330	心有餘悸	3.3	0.908	5.4	0.962	10
5349	整死	2.2	0.908	5.8	1.151	9
5406	逼問	3.3	0.908	5.5	0.791	7
5433	水汪汪	6.7	0.908	4.9	1.14	0
5443	水嫩緊緻	7.7	0.908	5.2	1.304	0
5453	油亮	5.3	0.908	4.4	0.962	8
5454	油油亮亮	5.3	0.908	4.4	0.962	0
5459	亮晶晶	6.3	0.908	5.1	1.084	14
5473	乾癟	2.7	0.908	5.1	1.14	0
5482	晶瑩剔透	7.8	0.908	6.5	1.225	19
5508	黏膩	2.7	0.908	5.8	1.255	0
34	哇	6	0.894	6.6	0.49	174
94	輸	3	0.894	4.4	1.2	155
116	混蛋	2	0.894	8	0.894	9
266	天堂	7	0.894	5.4	1.625	116
268	天賦	6	0.894	4.4	1.744	40
306	失眠	3	0.894	3.6	1.855	22
315	打仗	3	0.894	7.6	0.49	44
346	劣	3	0.894	5	0.632	10
369	有力	6	0.894	6	0.894	96
405	自暴自棄	2	0.894	7	2.098	17
464	投入	6	0.894	5.2	1.833	506
476	災	2	0.894	5.6	1.744	44
643	怒吼	2	0.894	8.8	0.4	11
724	剝奪	3	0.894	6.6	1.02	39
729	哽咽	3	0.894	6.4	1.02	11
750	悔改	4	0.894	6	1.549	12
772	疲乏	3	0.894	3.8	1.939	13
774	疲倦	3	0.894	4	1.673	54
775	疲弱	3	0.894	3.6	1.356	5
776	疲累	3	0.894	3.6	1.356	18
777	疲勞	3	0.894	3.8	1.166	39
778	疲憊	3	0.894	3.6	1.356	34
780	疼愛	7	0.894	6.4	1.2	27
782	真心	7	0.894	5.6	2.059	44
786	真實	6	0.894	4.6	1.356	322
898	淚流滿面	2	0.894	7.8	0.748	0
904	深愛	8	0.894	6.4	2.245	0
940	粗野	3	0.894	6.8	0.98	7
1011	喪禮	2	0.894	4.4	2.154	19
1049	惡耗	2	0.894	7.4	0.49	0
1095	猶疑	4	0.894	5.2	0.748	13
1107	盜	3	0.894	5.8	1.47	10
1127	開明	7	0.894	5	1.673	34
1133	順利	7	0.894	5	1.673	509
1153	傻笑	4	0.894	5.4	0.49	9
1162	惹惱	3	0.894	7.2	0.4	0
1178	損人	3	0.894	6.2	0.748	0
1218	痴狂	4	0.894	7.6	0.49	0
1231	義	6.4	0.894	6	0.707	55
1248	遇難	2	0.894	6.4	2.577	9
1300	精疲力盡	3	0.894	5.2	1.939	0
1301	精疲力竭	3	0.894	5.4	1.96	12
1323	酷刑	2	0.894	8.2	0.4	7
1324	酷愛	8	0.894	7.2	2.135	7
1410	窮困	3	0.894	4.2	1.47	21
1416	調皮	5	0.894	4.8	1.72	26
1426	鋌而走險	3	0.894	7	0.632	8
1436	戰火	3	0.894	6.8	1.47	84
1437	戰爭	3	0.894	7.2	1.166	673
1438	戰鬥	3	0.894	7	0.894	62
1440	戰亂	3	0.894	7.2	0.748	35
1486	錯	3	0.894	4.8	1.939	381
1487	錯亂	3	0.894	6.2	1.166	9
1527	艱辛	3	0.894	6.4	0.49	51
1531	艱險	3	0.894	7.8	0.748	0
1564	穩健	7	0.894	5.2	1.327	38
1565	贊同	7	0.894	5	1.265	84
1576	嚴峻	3	0.894	7.6	0.49	12
1580	寶貴	7	0.894	5	1.673	144
1597	護	6	0.894	4.4	1.2	52
1613	攪亂	3	0.894	6.6	1.02	8
1635	驚嚇	3	0.894	7.8	0.4	27
1652	鬱	3	0.894	4.8	1.327	0
2857	逃跑	3.5	0.894	5.8	0.98	14
2974	英雄式	6.5	0.894	5.5	2.098	8
2989	中肯	6	0.894	4.6	1.319	11
3073	腐蝕	3.5	0.894	4	1.265	28
3108	散落	4	0.894	3.3	1.47	31
3142	用盡	4	0.894	5.5	1.414	32
3147	敬陪末座	3.5	0.894	4.9	0.2	8
3189	韻味	6.5	0.894	4.3	0.872	29
3195	道謝	7	0.894	5.6	1.625	28
3214	幽默感	7	0.894	5.7	1.536	16
3225	懂事	6.5	0.894	4.7	0.6	38
3233	互愛	7	0.894	6.2	0.98	0
3241	聰穎	7.5	0.894	5.4	0.49	0
3275	漂漂亮亮	7	0.894	6.8	0.748	12
3278	豐腴	6.5	0.894	4.5	1	9
3332	文盲	3.5	0.894	4	1.844	17
3333	不許	3.5	0.894	5	2.098	21
3433	淳樸	6	0.894	2.7	1.166	9
3548	精神百倍	7.5	0.894	7.4	0.735	0
3550	崩塌	2.9	0.894	7	1.173	14
3551	得不償失	2.4	0.894	7.3	1.304	21
3576	處變不驚	5.9	0.894	5.4	0.962	5
3579	發病	2.9	0.894	7.2	1.095	38
3580	病發	2.9	0.894	7.2	1.095	8
3582	稍嫌弱	3.4	0.894	4.6	1.517	0
3584	華而不實	2.9	0.894	6.3	1.151	0
3593	進退兩難	4.1	0.894	6.2	0.908	7
3596	週到	7.6	0.894	5.6	0.894	11
3601	愚昧	2.9	0.894	6.2	0.908	23
3603	摃龜	2.6	0.894	6	1.458	0
3633	清爽	6.9	0.894	4.9	1.342	22
3634	清清爽爽	6.9	0.894	4.9	1.342	0
3638	痛心疾首	2.1	0.894	8	1.458	6
3641	痠痛	2.6	0.894	6.1	1.517	4
3642	酸痛	2.6	0.894	6.1	1.517	19
3643	痠痠痛痛	2.6	0.894	6.1	1.517	0
3644	酸酸痛痛	2.6	0.894	6.1	1.517	0
3649	復原	6.9	0.894	5.2	1.643	36
3651	硬著頭皮	3.1	0.894	5.2	1.643	11
3653	令人費解	3.6	0.894	4.3	1.204	0
3666	順暢	7.4	0.894	6.2	1.304	38
3670	慌亂	3.1	0.894	6.3	1.304	25
3671	矮人一截	3.1	0.894	3.8	1.095	0
3672	碎裂	3.1	0.894	5.1	1.517	5
3679	解渴	6.6	0.894	5.8	1.304	22
3693	盛裝	7.1	0.894	4.9	1.517	9
3731	熱死	2.1	0.894	6.4	1.517	0
3739	壅塞	2.6	0.894	5.4	1.342	17
3746	龜裂	3.9	0.894	3.9	1.245	12
3751	無緣	3.4	0.894	3.1	1.432	28
3754	腫脹	3.9	0.894	5.1	1.517	22
3764	漏水	3.1	0.894	4.2	1.483	15
3769	圖文並茂	7.6	0.894	5.9	1.245	7
3773	蒼老	2.9	0.894	3.3	1.483	8
3809	親民	6.9	0.894	3.5	1.5	6
3855	精簡	7.1	0.894	4.2	1.643	38
3878	納悶	3.9	0.894	4.2	1.304	18
3886	頗佳	7.1	0.894	6.2	1.525	14
3907	不亞於	6.1	0.894	4.7	0.837	19
3928	超難	2.9	0.894	6.4	1.14	0
3930	變臭	2.1	0.894	6.7	1.565	0
3957	鬱悶	2.6	0.894	3.9	1.432	20
3967	屈就	3.1	0.894	4.2	1.643	5
3986	不堪	2.9	0.894	5	1.414	93
3997	平分秋色	5.4	0.894	4	1.225	0
3998	合情合理	5.6	0.894	3.8	1.304	10
4019	閃亮	7.6	0.894	7.4	1.342	21
4020	閃閃亮亮	7.6	0.894	7.4	1.342	0
4021	閃閃發光	7.6	0.894	7.4	1.342	20
4022	閃閃發亮	7.6	0.894	7.4	1.342	0
4027	好命	7.4	0.894	3.3	1.204	0
4030	手忙腳亂	2.1	0.894	7.6	1.342	14
4043	表裡如一	6.6	0.894	2.4	0.894	0
4048	起疑	3.9	0.894	3.2	1.304	5
4064	支離破碎	1.6	0.894	6.8	0.837	14
4083	病態	2.6	0.894	4.7	1.095	26
4087	純正	6.6	0.894	3.4	1.475	14
4088	風雅	7.4	0.894	3.3	1.304	4
4094	不夠看	4.4	0.894	4.7	1.396	0
4098	名列前茅	7.4	0.894	6.8	1.095	22
4121	笑容可掬	8.4	0.894	6.8	1.255	6
4126	大起大落	3.4	0.894	7.8	1.037	0
4132	秀逗	2.4	0.894	4.4	1.194	0
4133	手拙	2.9	0.894	3	1.225	0
4140	服貼	6.9	0.894	4.8	1.095	0
4141	服服貼貼	6.9	0.894	4.8	1.095	0
4169	恍然大悟	7.1	0.894	6.9	0.742	32
4173	春暖花開	7.1	0.894	3	1.369	0
4174	後悔莫及	2.4	0.894	7.3	0.671	7
4194	有出入	4.1	0.894	5.3	0.908	16
4197	下垂	3.4	0.894	5.1	1.084	18
4200	牛刀小試	7.1	0.894	6.3	1.396	0
4202	失準	2.9	0.894	6.8	0.837	10
4206	乾澀	3.9	0.894	4.4	1.194	0
4207	乾乾澀澀	3.9	0.894	4.4	1.194	0
4218	大手筆	6.1	0.894	7.1	0.742	13
4229	充斥	4.6	0.894	3.6	1.636	70
4279	過短	3.1	0.894	4	1.696	0
4302	凶惡	2.4	0.894	8	1	0
4305	心不甘情不願	2.9	0.894	5.9	1.746	4
4331	兇惡	2.4	0.894	8	1	9
4344	如火如荼	5.9	0.894	7.3	1.483	23
4437	筋疲力盡	3	0.894	5.2	1.939	6
4438	筋疲力竭	3	0.894	5.4	1.96	5
4440	費解	3.6	0.894	4.3	1.204	6
4539	暈眩	3.9	0.894	4	1.768	12
4554	不合群	2.6	0.894	4.5	1.414	0
4557	醜惡	1.9	0.894	4.9	1.597	10
4568	閃人	4.6	0.894	3	1.414	0
4581	心急如焚	3.4	0.894	8.4	0.548	0
4593	愚弄	2.9	0.894	4.7	1.204	0
4596	詭辯	3.4	0.894	4.6	1.294	6
4597	不可收拾	3.4	0.894	5	1.414	12
4624	告密	2.6	0.894	4	1.414	4
4629	流離失所	2.6	0.894	5	1.225	5
4638	食古不化	3.6	0.894	3.5	1.323	0
4644	瞎眼	1.6	0.894	6.2	1.304	0
4659	有種	6.6	0.894	4	1.732	4
4669	暗地	3.6	0.894	2.4	1.673	0
4672	帶衰	1.6	0.894	6.2	1.643	0
4678	惱怒	1.6	0.894	8.1	1.245	7
4685	濃烈	5.4	0.894	7.9	1.025	15
4687	弄死	1.6	0.894	8	1.414	6
4693	裝死	3.9	0.894	5.3	1.718	0
4713	滾蛋	1.6	0.894	8.4	0.894	0
4716	砍頭	1.6	0.894	7.2	1.789	4
4730	以偏概全	4.4	0.894	2.3	1.204	0
4738	鬆落	3.9	0.894	3.3	1.304	0
4757	耍賤	3.1	0.894	5	1.118	0
4769	惆悵	3.6	0.894	3.3	1.151	6
4785	摔倒	4.4	0.894	4.8	1.643	20
4786	跌倒	4.4	0.894	4.8	1.643	35
4787	摔跤	4.4	0.894	4.8	1.643	8
4788	摔一跤	4.4	0.894	4.8	1.643	0
4789	跌跤	4.4	0.894	4.8	1.643	0
4790	跌一跤	4.4	0.894	4.8	1.643	0
4800	懇摯	6.6	0.894	4.1	1.817	0
4812	譏諷	3.4	0.894	5.1	1.949	8
4849	癡人說夢	3.6	0.894	4.1	1.557	0
4871	好屌	5.9	0.894	5.2	1.095	0
4882	笑柄	3.9	0.894	3.8	2.49	5
4886	毒蛇	4.4	0.894	3.2	2.308	20
4891	萎靡	3.6	0.894	3.6	2.679	0
4900	免談	3.9	0.894	4	2.55	7
4903	短缺	4.1	0.894	3.5	1.323	40
4924	嗆聲	3.4	0.894	5.9	1.14	0
4957	悲歎	3.6	0.894	4.2	1.643	0
4969	自怨自艾	3.4	0.894	4.5	2.179	8
4970	自憐自艾	3.4	0.894	4.5	2.179	0
5016	作奸犯科	1.9	0.894	4.4	2.074	4
5029	口渴	4.6	0.894	4.1	2.133	13
5036	曬焦	4.1	0.894	4	1.581	0
5058	又氣又惱	3.6	0.894	6.8	2.387	0
5059	威懾	4.1	0.894	5.6	1.673	0
5062	閒閒	4.6	0.894	1.8	0.837	4
5064	作孽	1.6	0.894	5	1.225	0
5076	誤人	3.6	0.894	3	1.696	0
5086	經不起	3.9	0.894	3.2	1.924	15
5091	沒用	3.4	0.894	2.7	1.483	41
5100	私運	3.6	0.894	2.8	2.49	0
5112	裂開	3.9	0.894	3.6	2.074	18
5132	狂傲	3.6	0.894	4.1	1.245	0
5142	大傷	3.4	0.894	4.4	2.51	5
5156	不甘心	3.4	0.894	4.8	3.033	0
5171	省時	6.4	0.894	1.4	0.548	10
5181	減免	5.4	0.894	1.6	0.894	12
5192	浪蕩	3.4	0.894	4.8	1.151	5
5228	認輸	3.9	0.894	3.5	1.658	13
5237	不擇手段	2.9	0.894	5.5	1.5	16
5248	欠扁	3.4	0.894	6.3	0.671	0
5249	死要面子	3.6	0.894	4.2	0.908	0
5254	私通	2.9	0.894	4.9	1.517	6
5283	害蟲	3.4	0.894	4.6	1.14	12
5285	男盜女娼	1.9	0.894	5.5	2.062	0
5302	偽善	3.6	0.894	3.9	1.025	4
5304	違禁品	3.4	0.894	2.4	1.342	5
5359	愁苦	3.4	0.894	3.5	1.5	4
5381	混球	3.1	0.894	4.8	1.754	0
5384	屈辱	2.9	0.894	4.9	1.432	13
5437	不暈染	6.6	0.894	4.8	1.255	0
5455	油油滑滑	3.9	0.894	4.3	1.037	0
5467	粉嫩	6.6	0.894	4.2	0.908	0
5468	粉粉嫩嫩	6.6	0.894	4.2	0.908	0
5471	乾硬	2.9	0.894	5.2	1.204	0
5481	軟嫩	5.9	0.894	5.2	1.351	0
5494	滑順好塗	7.1	0.894	6	1.225	0
5501	嬌柔	6.4	0.894	2.8	1.304	5
1688	穩定	6	0.89	3.4	1.36	381
1802	消除	4	0.89	4.4	1.5	134
1803	清除	4	0.89	4.4	1.36	60
1811	贊助	6	0.89	4.2	1.17	155
1997	廣闊	6	0.89	3.2	1.47	50
2028	稀少	5	0.89	3.6	1.62	49
2033	至上	6	0.89	3.6	1.36	37
2312	作戰	4	0.89	5.4	1.02	108
2313	審判	4	0.89	4.8	1.6	35
2329	刪除	4	0.89	3.6	1.2	85
2494	強暴	2	0.89	7.2	1.33	49
2527	細菌	4	0.89	4.2	1.72	99
2535	逼近	4	0.89	4.2	1.17	48
2550	逃亡	3	0.89	5.8	0.75	22
2598	突發	4	0.89	6.2	0.98	44
2626	殖民	4	0.89	4	1.67	78
2774	激戰	4	0.89	7	1.26	10
2913	強盜罪	2.7	0.872	5.6	1.855	0
2981	多才多藝	6.3	0.872	3.8	1.166	14
3032	聰慧	6.7	0.872	3.1	1.2	0
3034	賢明	6.7	0.872	2.9	1.356	10
3046	紊亂	3.7	0.872	4.8	1.47	34
3056	威嚇	2.7	0.872	7.5	1	9
3139	沈沒	3.3	0.872	4.7	1.327	0
3219	心甘情願	6.7	0.872	4.9	0.663	22
3355	軍閥	3.7	0.872	4.2	2.135	20
3369	罷課	2.8	0.872	6.1	1.281	0
3486	目眩	4.3	0.872	4.2	1.288	12
3534	雜草	4.7	0.872	2.3	1.4	18
3545	心誠則靈	6.3	0.872	4.4	1.068	0
3983	歡度	7.5	0.866	6.6	1.084	12
4063	名不虛傳	7.5	0.866	5.5	1.5	0
4147	差強人意	3.5	0.866	3.4	1.387	10
4154	吃重	4.5	0.866	3.7	1.396	12
4178	紅腫	4.5	0.866	3.3	1.396	13
4212	風情萬種	7.5	0.866	7.1	1.14	4
4312	出頭	6	0.866	6.3	1.151	18
4698	抖顫	3.5	0.866	7.4	1.817	6
4813	窮凶極惡	2.5	0.866	6.3	1.718	0
4853	折斷	4.5	0.866	4.5	1.696	17
4887	機八	3.5	0.866	4.6	2.382	0
4917	黑手	4.5	0.866	2.6	1.517	19
4932	匪夷所思	4.5	0.866	5.4	1.517	11
4959	不成功	3.5	0.866	3.4	1.517	0
5008	慘事	2.5	0.866	4.6	1.817	0
5077	不倫不類	2.5	0.866	4.3	2.28	9
5107	愁眉苦臉	3.5	0.866	2.7	1.095	15
5185	趁火打劫	2.5	0.866	6.5	2.179	5
5422	攙假	3.5	0.866	3.9	1.71	0
5496	滑膩	5	0.866	4.9	1.342	0
2833	復發	3.6	0.86	4.7	1.166	33
3237	熱熱鬧鬧	6.6	0.86	6.6	0.374	10
3262	超凡	7.4	0.86	6.9	1.2	0
3320	鬧事	2.9	0.86	5.6	1.772	0
3334	徵稅	4.4	0.86	3.1	1.744	0
3378	戰敗	2.4	0.86	6.5	2	23
3388	芳香	6.4	0.86	3	1.14	10
3399	稀奇	5.9	0.86	5	1.761	23
3469	謙遜	6.4	0.86	3.5	0.775	9
3481	情投意合	6.9	0.86	5.2	1.6	0
3497	稀罕	5.4	0.86	4.4	1.497	0
4457	謙遜地	6.4	0.86	3.5	0.775	0
638	怒不	3.8	0.837	5.8	1.095	0
3072	刁難	3	0.837	6.8	0.927	20
3099	潛藏	4	0.837	4.5	1.414	27
3107	躲藏	4	0.837	3.8	1.327	0
3203	勇猛	7	0.837	6.7	0.4	9
3305	推擠	3.5	0.837	4.8	1.939	15
3338	衝動	4	0.837	6.2	1.965	99
3375	割傷	3.5	0.837	4.9	2.154	0
3387	直率	6.5	0.837	4.6	1.655	11
3435	學成歸國	7	0.837	5.9	1.655	0
3555	不相上下	6.2	0.837	5.8	0.837	16
3560	累贅	2.7	0.837	6.4	1.342	11
3564	得分	7.7	0.837	7.9	1.14	106
3567	深厚	5.8	0.837	4.6	0.962	83
3614	詭異	2.7	0.837	6.1	1.342	33
3624	強有力	7.3	0.837	7.2	1.351	21
3625	強而有力	7.3	0.837	7.2	1.351	16
3648	脫穎而出	7.3	0.837	6.6	1.636	43
3656	犀利	7.2	0.837	6.2	1.151	22
3659	絕佳	8.2	0.837	6.2	1.304	37
3706	鼎鼎大名	7.8	0.837	6.8	1.351	6
3707	漏氣	3.3	0.837	5.9	1.475	13
3763	慵懶	4.2	0.837	2.6	1.517	25
3789	與眾不同	6.8	0.837	5.9	0.894	35
3790	遠大	6.8	0.837	5.7	0.671	29
3821	無所遁形	5.8	0.837	3.6	1.342	4
3875	變濁	2.7	0.837	4.2	0.837	0
3889	難聽	2.7	0.837	5.9	1.14	14
3901	變心	2.3	0.837	7	1.275	4
3934	猜不透	3.3	0.837	3.7	1.483	0
3947	鐵齒	3.3	0.837	4.7	1.304	13
3952	穩如泰山	7.3	0.837	3.3	1.095	0
3990	美中不足	3.2	0.837	4.7	1.565	17
4004	出線	5.8	0.837	5.6	0.894	21
4005	死心眼	2.8	0.837	3.2	1.095	0
4009	秀麗	7.2	0.837	4.4	1.14	29
4010	行得通	6.8	0.837	6	0.707	15
4017	乾淨	7.3	0.837	6.3	1.204	202
4018	乾乾淨淨	7.3	0.837	6.3	1.204	43
4031	好看	7.2	0.837	3.7	1.789	142
4046	衰落	2.3	0.837	3.1	1.14	14
4052	柔中帶勁	6.3	0.837	2.1	1.673	0
4067	受益	7.2	0.837	4	1.768	53
4085	特強	8.2	0.837	7.4	0.962	4
4089	挺住	6.3	0.837	4.8	1.351	0
4100	如願以償	7.3	0.837	5.8	1.483	6
4137	拖泥帶水	2.7	0.837	4.2	1.095	0
4146	剝落	2.2	0.837	5.3	1.204	12
4151	香噴噴	7.2	0.837	7.1	0.894	21
4161	返璞歸真	7.3	0.837	2	1.225	0
4167	叛逆	3.2	0.837	5.9	1.14	25
4170	恬淡	7.2	0.837	1.8	0.837	8
4171	持之以恆	7.3	0.837	1.9	0.742	14
4172	指日可待	6.7	0.837	3.4	1.294	11
4188	毛燥	2.7	0.837	7.8	0.837	0
4189	毛躁	2.7	0.837	7.8	0.837	0
4190	凹陷	4.2	0.837	4.6	1.14	11
4265	美呆	7.7	0.837	7.5	0.935	0
4294	小康	5.7	0.837	4	1	13
4297	中上	6.8	0.837	5	1.458	9
4320	失火	2.2	0.837	8.5	0.866	14
4342	多不勝數	6.2	0.837	5	0.935	0
4366	困惱	2.8	0.837	6.2	0.758	0
4493	耍脾氣	3.8	0.837	6.7	1.095	0
4508	搞亂	3.3	0.837	5	1.581	0
4514	自掃門前雪	3.2	0.837	4.4	1.557	4
4516	離鄉背井	3.8	0.837	5.1	1.025	18
4534	豬哥	3.2	0.837	4.9	1.557	0
4545	缺口	3.8	0.837	3.6	1.14	17
4567	不可信	3.3	0.837	3.8	1.304	0
4569	包山包海	6.7	0.837	3.3	1.565	0
4579	心煩	3.3	0.837	6.8	1.304	9
4603	潑婦	2.2	0.837	7.3	1.304	0
4610	匆忙	3.3	0.837	5	1.541	41
4611	匆匆忙忙	3.3	0.837	5	1.541	31
4623	沾染	2.8	0.837	3.8	1.643	6
4628	作弄	3.8	0.837	3.6	1.342	4
4630	罵人	2.8	0.837	6.5	0.707	23
4632	聲名狼藉	1.8	0.837	4.6	1.342	0
4643	污點	2.2	0.837	3.7	1.483	0
4754	唯恐不及	3.8	0.837	5	1.62	6
4796	槓上	3.8	0.837	5.9	1.387	0
4874	夭壽	3.3	0.837	4.1	2.012	0
4940	暴戾	2.2	0.837	6.5	2.345	10
4973	冷峻	4.2	0.837	3.3	1.643	7
4975	失神	4.2	0.837	3.5	1.323	4
4976	閃神	4.2	0.837	3.5	1.323	0
4985	噱頭	4.2	0.837	3.9	1.597	24
4989	回扣	4.8	0.837	3.7	1.483	6
5012	摸不清	4.2	0.837	3.6	1.294	0
5027	狂罵	2.8	0.837	7.4	1.949	0
5038	漂泊	4.7	0.837	3.4	1.817	10
5070	耐看	6.2	0.837	1.4	0.894	5
5075	著急	4.3	0.837	6.8	2.28	70
5186	動粗	3.3	0.837	6.8	1.304	4
5219	憎恨	1.8	0.837	8.2	0.758	20
5239	不信	4.3	0.837	4	1	0
5261	不合宜	4.3	0.837	2.2	1.304	0
5279	死鬼	4.2	0.837	4.8	1.037	0
5316	乖僻	4.7	0.837	3	1.458	0
5353	援交	3.8	0.837	4.1	1.245	0
5355	搞政變	2.7	0.837	5.4	1.917	0
5370	挑撥離間	3.3	0.837	5	1.581	0
5407	蝕壞	3.3	0.837	3.9	1.342	0
5445	好沖淨	6.8	0.837	4.6	1.025	0
5456	油膩	2.7	0.837	5.2	1.304	11
5457	油油膩膩	2.7	0.837	5.2	1.304	0
3677	腳踏實地	6.4	0.822	4.4	1.342	22
3756	清新	6.6	0.822	3.9	1.342	82
3829	繪聲繪影	4.4	0.822	4.5	1.414	4
4179	洋洋得意	6.4	0.822	6.9	0.894	0
4217	上榜	7.6	0.822	7.7	1.304	12
4219	賣座	7.9	0.822	7.3	0.671	18
4266	接地氣	6.1	0.822	4.6	1.14	0
4289	十全十美	8.4	0.822	6.9	1.432	13
4311	凹凸不平	4.1	0.822	5.4	1.71	12
4332	先聲奪人	4.6	0.822	5.6	0.962	0
4341	回天乏術	1.6	0.822	6.6	0.822	6
4361	血淋淋	2.4	0.822	7.6	1.14	16
4521	故態復萌	3.4	0.822	4.3	1.483	0
4653	喧囂	3.4	0.822	4.2	1.643	11
4654	喧囂聲	3.4	0.822	4.2	1.643	0
4735	禍害	2.4	0.822	5.5	1.658	9
4746	撕破	3.6	0.822	5.1	1.746	4
4748	要飯	3.4	0.822	4.3	1.643	0
4765	空想	3.9	0.822	3.3	1.857	9
4781	禁錮	2.9	0.822	3.4	1.851	12
4825	卒仔	3.4	0.822	3.9	1.884	0
4826	俗辣	3.4	0.822	3.9	1.884	0
4851	害臊	4.4	0.822	5.3	1.718	0
4855	硬逼	3.9	0.822	5.5	2.121	0
4860	啼哭	3.9	0.822	5.8	1.304	0
4889	喧嘩	4.1	0.822	4.9	2.329	18
5140	狂放	4.4	0.822	5.3	1.789	9
5267	驚惶失措	3.6	0.822	6.9	1.245	0
5308	強奪	2.9	0.822	5.1	1.245	0
5376	搖尾乞憐	3.1	0.822	4.1	1.597	0
5444	白皙	7.1	0.822	4.2	1.483	12
5458	肥厚	3.1	0.822	4.2	1.255	7
5486	圓滑	6.4	0.822	3.4	0.894	8
5493	暗變亮	6.6	0.822	6.3	1.255	0
3053	粗糙	3.8	0.812	3.3	0.4	50
3054	險境	2.8	0.812	5	1.414	8
3229	寬厚	6.8	0.812	4.4	1.2	11
3304	裂痕	3.2	0.812	5.2	1.965	11
3358	傳染性	3.2	0.812	3.5	1.817	8
3373	畸形	2.8	0.812	4.7	1.887	18
3382	逃走	3.2	0.812	5.4	1.068	43
3460	率真	6.3	0.812	4.3	1.249	0
3516	賢慧	6.8	0.812	3.3	1.166	0
3523	足智多謀	7.7	0.812	5.2	0.748	0
4419	逃掉	3.2	0.812	5.4	1.068	0
15	不耐煩	3.6	0.8	6	1.095	37
23	不當	3.4	0.8	5.6	1.2	178
38	單獨	4.4	0.8	3.6	1.2	87
44	無趣	3.4	0.8	5.2	0.98	20
50	嘻	6.6	0.8	5.8	0.98	8
99	謝謝	6.6	0.8	5.8	0.748	833
110	呸	2.4	0.8	7.4	1.02	5
112	怪胎	2.4	0.8	7	1.414	6
126	蹩腳	3.6	0.8	5.2	1.939	0
129	白痴	2.4	0.8	6.4	1.625	20
141	同情	5.4	0.8	4.2	0.98	131
177	愛戀	7.6	0.8	6.8	0.4	11
184	嘲弄	2.6	0.8	6.2	0.748	20
185	嘲笑	2.6	0.8	6.6	0.49	28
186	嘲罵	2.6	0.8	7.4	0.8	0
208	寶貝	7.4	0.8	6.4	1.02	80
209	饒恕	5.6	0.8	5	1.789	0
215	戀愛	7.6	0.8	6.4	1.625	90
233	才能	6.6	0.8	4.6	1.356	83
249	公憤	2.4	0.8	8	0.894	0
255	分散	4.4	0.8	3.8	1.47	141
256	分裂	3.6	0.8	5.8	2.04	114
260	反抗	3.6	0.8	6.6	0.8	100
264	反對	3.4	0.8	6.2	1.166	644
286	乏味	3.4	0.8	3	1.414	25
297	可惡	2.4	0.8	7.2	1.166	44
299	可鄙	2.4	0.8	7.4	0.8	0
300	可憎	2.4	0.8	7.2	1.166	4
312	平庸	4.6	0.8	3	1.414	6
336	丟人現眼	2.4	0.8	6.8	0.98	0
342	兇	3.4	0.8	7.2	0.748	58
363	安靜	5.6	0.8	2.4	1.497	118
374	有效	6.6	0.8	5	1.549	790
375	有益	6.6	0.8	5	1.549	57
394	自甘墮落	2.6	0.8	5.2	1.939	7
398	自卑	2.6	0.8	3.8	1.47	47
401	自責	3.6	0.8	5.2	1.166	19
407	至善	7.6	0.8	6	2.191	12
411	低能	2.6	0.8	4.6	1.855	0
413	低迷	3.6	0.8	3.2	1.47	59
426	利潤	6.6	0.8	5.4	1.625	199
427	吝嗇	3.4	0.8	4.6	1.02	15
443	完美	7.6	0.8	6.4	1.744	171
450	巫婆	3.6	0.8	5	1.265	32
458	扭曲	3.6	0.8	5.2	1.6	103
463	抑鬱	2.4	0.8	5.8	1.939	12
485	肝腸寸斷	1.6	0.8	8	1.549	0
489	邪惡	2.4	0.8	6.6	1.356	29
515	和平	6.4	0.8	3.2	1.6	327
554	拙劣	2.6	0.8	6.2	1.72	0
